Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
Engine 54,Municipal,Fire Station,Long Island Road,02169," 5,000 ",Not Available,Not applicable to this property type,,Fire Station,2000,Not Available, Not Available , Not Available ,0%,0%,0%,,,,,
Fire Academy Burn Building,Municipal,Fire Station,MOON-ISLAND ST,02169," 2,100 ",Not Available,Not applicable to this property type,,Fire Station,2005,0, -   , Not Available ,0%,0%,0%,,,,,
Long Island Firing Range,Municipal,Police Station,Long Island Road,02169," 1,000 ",15.3,Not applicable to this property type,,Police Station,2000,1.5, 1.5 ," 15,276 ",100%,0%,0%,,,,,
Nike Bldg 2,Municipal,Fire Station,Long Island Road,02169," 3,000 ",11.3,Not applicable to this property type,,Fire Station,2000,3.3, 1.1 ," 33,763 ",100%,0%,0%,,,,,
Nike Bldg 4,Municipal,Fire Station,Long Island Road,02169," 1,500 ",2.1,Not applicable to this property type,,Fire Station,2000,0.3, 0.2 ," 3,136 ",100%,0%,0%,,,,,
Training Academy / Fire Academy,Municipal,Fire Station,200 Moon Island,02169," 30,000 ",32.4,Not applicable to this property type,,Fire Station,2000,79.6, 2.7 ," 970,580 ",35%,0%,0%,,,,,
Long Island Campus,Municipal,Residence Hall/Dormitory,1 Long Island Rd,02171, 100 ,Not Available,Not Available,,Residence Hall/Dormitory,2000,0, -   , Not Available ,0%,0%,0%,36419.00,,,,
Nike Bldg 3,Municipal,Fire Station,Long Island Road,02171, 100 ,328.4,Not applicable to this property type,,Fire Station,2000,3.2, 31.8 ," 32,841 ",100%,0%,0%,,,,,
Pistol Range,Municipal,Police Station,86 Moon Island Rd,02171," 1,000 ",232.3,Not applicable to this property type,,Police Station,2000,22.5, 22.5 ," 232,337 ",100%,0%,0%,,,,,
The Penmark,Yes,Multifamily Housing,21 Father Gilday St,02176," 76,075 ",94,1,,Multifamily Housing,1980,560.4,7.4," 7,152,415 ",58%,42%,0%,22.93,,,,0801401510
07602-Prudential New,Yes,Supermarket/Grocery Store,53 Huntington Ave,02199," 59,527 ",280,40,,Supermarket/Grocery,2003,1363.9,22.9," 16,668,015 ",66%,34%,0%,0.00,,,,0401037400
101 Huntington Ave,Yes,Office,101 Huntington Ave,02199," 830,995 ",64.9,90,"2014, 2012, 2011, 2010, 2009, 2008","Office, Parking",1972,3148.6,5.4," 37,981,910 ",54%,0%,46%,9.92,,,,Not Available
111 Huntington Ave,Yes,Office,111 Huntington Ave,02199," 1,034,179 ",74.5,76,"2014, 2012, 2011, 2010, 2009, 2008, 2007, 2003",Office,2001,6727.5,6.5," 77,038,762 ",69%,1%,30%,12.64,,,,Not Available
5677-Sheraton Boston Hotel,Yes,Hotel,39 Dalton Street,02199," 1,040,000 ",107.1,52,,Hotel,1990,7596.3,7.3," 111,386,207 ",35%,65%,0%,38.53,,,,0401037300
MA040_AVA Back Bay,Yes,Multifamily Housing,790 Boylston Street,02199," 291,222 ",101.1,27,,Multifamily Housing,1968,2026.7,7," 29,451,334 ",10%,4%,86%,79.07,,,,0401037010
MA041_Avalon Prudential Center 2,Yes,Multifamily Housing,780 Boylston Street,02199," 287,111 ",103.8,4,,Multifamily Housing,1968,2236.7,7.8," 29,806,429 ",28%,0%,72%,47.24,,,,0401037050
MA042_Avalon Prudential Center 1,Yes,Multifamily Housing,770 Boylston Street,02199," 286,043 ",98,9,,Multifamily Housing,1968,2074.2,7.3," 28,020,909 ",25%,0%,75%,36.20,,,,0401037075
"Mandarin Oriental, Boston",Yes,Multifamily Housing,772-776 Boylston Street,02199," 452,336 ",147.8,1,,"Bar/Nightclub, Hotel, Multifamily Housing, Other - Mall, Restaurant, Social/Meeting Hall",2006,5509.2,12.2," 66,857,912 ",56%,8%,36%,35.30,,,,"0401037810,0401037800"
Prudential Tower,Yes,Office,800 Boylston Street,02199," 1,940,299 ",110,59,"2010, 2008","Office, Parking",1965,13990.6,9.2," 167,043,687 ",59%,3%,38%,13.17,,,,Not Available
Sheraton Boston,Yes,Hotel,39 Dalton Street,02199," 1,105,548 ",104.5,57,"2008, 2007, 2002","Hotel, Parking, Restaurant",1965,7486.4,7.1," 109,727,060 ",35%,65%,0%,,,,,0401037300
City Hall,Municipal,Office,One City Hall Square,02201," 511,000 ",122.2,29,,Office,1968,5456.5, 10.7 ," 62,421,146 ",69%,0%,31%,2.65,,,,
D-14 Station,Municipal,Police Station,301 Washington St,02201," 13,858 ",170,Not applicable to this property type,,Police Station,2000,157, 11.3 ," 2,356,413 ",31%,69%,0%,2.19,,,,
MA0131ZZ - JFK FEDERAL BUILDING,Yes,Office,15 NEW SUDBURY STREET,02203," 1,045,834 ",78.2,Not Available,"2012, 2011, 2010, 2009, 2005, 2000","Data Center, Office, Parking",1966,6242.2,6.4," 75,990,372 ",52%,0%,48%,13.37,,,,0302605000
The Boston Globe,Yes,Other,135 William T. Morrissey Blvd.,02205," 732,000 ",96.8,Not applicable to this property type,,"Other, Parking",1958,6588.4,9.3," 68,740,497 ",98%,2%,0%,20.21,,,,1302364050
01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,02210," 1,190,380 ",88.1,83,"2015, 2014, 2013, 2012, 2011, 2010, 2008","Data Center, Financial Office, Office, Parking",1978,12820.8,11.9," 95,020,563 ",59%,2%,39%,14.54,,,,0304340000
10 Milk Street,Yes,Office,10 Milk Street,02210," 225,294 ",58.3,88,,"Fast Food Restaurant, Office",1903,1153.8,5.1," 13,132,989 ",72%,2%,26%,7.97,,,,0303907000
10/20 Channel Center,Yes,Office,10 Channel Center Street,02210," 248,760 ",58.9,84,,Office,1920,1418.6,5.7," 14,663,515 ",100%,0%,0%,14.95,,,,0602757030 0602757045
11 Farnsworth St - Parcel 06-02658-001,Yes,Financial Office,11 Farnsworth Street,02210," 41,566 ",46.4,86,,Financial Office,1893,186.7,4.5," 1,930,302 ",100%,0%,0%,7.16,,,,Not Available
12 -44 Thomson Place - Parcel 0602654010,Yes,Financial Office,12-44 Thomson Place,02210," 184,479 ",175.9,Not Available,,"Data Center, Financial Office",1900,2960.9,16," 32,445,738 ",87%,13%,0%,6.78,,We did not receive separate usage information for the property's data center.  The electricity consumption of the data center is included in the  electric meter for 12 Thomson.,,Not Available
12 Farnsworth Street,Yes,Office,12 Farnsworth Street,02210," 56,588 ",Not Available,Not Available,,"Fast Food Restaurant, Office, Supermarket/Grocery",1918,0,0, Not Available ,0%,0%,0%,,,,,0602665000
21 Custom House,Yes,Office,21 Custom House Street,02210," 135,746 ",92.9,52,,"Office, Parking",1984,945.3,9," 9,771,029 ",100%,0%,0%,14.05,,,,0303988000
22 Boston Wharf Road,Yes,Parking,22 Boston Wharf Road,02210," 188,432 ",201.9,Not applicable to this property type,,"Office, Parking",2001,917.9,15.7," 11,797,569 ",57%,43%,0%,2.68,,,,0602648010
230 Congress Street,Yes,Office,230 Congress Street,02210," 153,259 ",219.1,6,,Office,1930,3141.7,20.5," 33,585,923 ",89%,0%,11%,14.96,,,,0304190000
250 summer st,Yes,Office,250 summer st,02210," 100,096 ",59.9,75,,Office,1903,571.9,5.7," 5,995,763 ",97%,3%,0%,11.45,,,,0602701002 0602701001
253 Summer/27 Melcher,Yes,Office,253 summer st,02210," 216,012 ",75,80,,Office,1902,1319.7,6.1," 16,207,443 ",65%,35%,0%,10.56,,,,0601163005 0601163015 0601163025 0601164005
25-35 Thomson Place - Parcel 0602652010,Yes,Office,25-35 Thomson Place,02210," 170,569 ",81.1,Not Available,,Office,1900,1107.6,6.5," 13,833,393 ",62%,38%,0%,5.73,,,,Not Available
266 Summer Street,Yes,Office,266 Summer Street,02210," 19,238 ",81.3,Not Available,,"Office, Other",1899,145.3,7.6," 1,563,329 ",91%,9%,0%,16.85,,,,0602701000
268 Summer Street,Yes,Office,268 Summer Street,02210," 68,980 ",57.2,66,,Office,1898,381.9,5.5," 3,947,070 ",100%,0%,0%,8.04,,,,0602700000
274 Summer Street,Yes,Office,274 Summer St,02210," 74,046 ",70.7,64,,"Office, Restaurant",1899,499.3,6.7," 5,234,429 ",97%,3%,0%,12.24,,,,0602699000
280 Summer Street,Yes,Office,280,02210," 138,350 ",82,Not Available,,Office,1900,1010.9,7.3," 11,346,654 ",66%,0%,0%,,,All usage data was provided by the utility company.    ,,0602698000
281 Summer Street,Yes,Office,273-281 Summer Street,02210," 168,408 ",48,Not Available,,Office,1904,782.8,4.6," 8,090,977 ",100%,0%,0%,1.73,,,,02704000 02703000
285 Summer Street,Yes,Office,285 Summer Street,02210," 56,694 ",68,55,,"Office, Parking",1903,306.8,6.3," 3,311,047 ",91%,9%,0%,21.10,,,,0602705000
303 Congress Co. LLC,Yes,Office,303 Congress Street,02210," 69,553 ",41.2,Not Available,,Office,2004,230.2,3.3," 2,865,215 ",62%,38%,0%,8.82,,,,Not Available
320 Summer Street,Yes,Office,320 Summer Street,02210," 122,500 ",81.4,78,,Office,2013,800.9,6.5," 9,972,366 ",62%,38%,0%,8.60,,,,02689-000
343 Congress,Yes,Office,343 Congress Street,02210," 113,555 ",130,12,,"Office, Other - Restaurant/Bar, Parking",2001,1249.1,11.7," 13,827,704 ",85%,15%,0%,10.54,,,,0602694000
44 Prince Street Condominium Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210," 76,038 ",45.6,69,,Multifamily Housing,2006,237.3,3.1," 3,468,632 ",35%,65%,0%,25.54,,,,0302347000
45 Milk Street,Yes,Office,45 Milk Street,02210," 76,448 ",55.5,Not Available,,"Office, Retail Store",1893,301.8,3.9," 4,241,883 ",41%,59%,0%,2.42,,,,0304662000
5 Channel Center,Yes,Office,5 Channel Center Street,02210," 52,500 ",72.3,64,,Office,1900,284.6,5.4," 3,795,150 ",50%,50%,0%,4.70,,,,0602750030
51 Melcher,Yes,Office,51 Melcher Street,02210," 99,000 ",61.5,86,,Office,1915,512.2,5.2," 6,087,769 ",71%,29%,0%,4.55,,,,0601166040
51 Sleeper Street,Yes,Office,51 Sleeper Street,02210," 150,363 ",64.4,72,,"Office, Parking",1929,936.1,6.2," 9,676,392 ",100%,0%,0%,9.91,,,,0602670000
75 Clarendon Street Condo Trust,Yes,Multifamily Housing,c/o Barkan Management,02210," 46,100 ",10.6,100,,Multifamily Housing,1000,47.1,1," 486,842 ",100%,0%,0%,407.15,,,,0501048000
88 Black Falcon,Yes,Non-Refrigerated Warehouse,88 Black Falcon Ave.,02210," 376,447 ",72.3,62,,"Non-Refrigerated Warehouse, Office",1910,2281.7,6.1," 27,203,217 ",71%,29%,0%,6.17,,,,02674-016
9673r-Renaissance Boston Waterfront,Yes,Hotel,606 Congress Street,02210," 405,633 ",125.9,41,,Hotel,2008,3654.6,9," 51,051,902 ",42%,58%,0%,33.00,,,,3351813
Annex,Yes,Laboratory,1 Harbor Street,02210," 20,000 ",1329.3,Not applicable to this property type,,Laboratory,2013,1953.5,97.7," 26,585,992 ",47%,53%,0%,48.17,,Water bill is payed by property owner.,,0602674000
Artists,Yes,Multifamily Housing,300 Summer Street,02210," 85,000 ",33.7,99,,Multifamily Housing,1950,184.2,2.2," 2,862,968 ",26%,74%,0%,13.08,,,,0602696002
Atlantic Wharf,Yes,Office,280 Congress St.,02210," 1,061,665 ",72.5,93,"2015, 2013","Data Center, Office, Parking, Restaurant",2010,5275.2,6.3," 60,984,204 ",77%,23%,0%,11.94,,,,0302952018 0302952020 0302952022 0302952024
Au Bon Pain,Yes,Not Available,19 Fid Kennedy Ave,02210, Not Available ,Not Available,Not applicable to this property type,,Not Available,1920,1636.1,Not Available," 23,601,399 ",37%,63%,0%,,,,,0602674000
Audubon Park Condo Trust,Yes,Multifamily Housing,24 Farnsworth Street,02210," 126,660 ",21.4,100,,Multifamily Housing,1000,201.9,1.6," 2,715,550 ",49%,51%,0%,9.28,,,,2100167000
BOS - 245 Summer Street,Yes,Office,245 Summer Street,02210," 905,414 ",126.2,96,2013,"Data Center, Financial Office, Office",1975,10431.5,11.5," 114,286,491 ",87%,12%,0%,19.65,,,,04-3337741
Channel Center,Yes,Financial Office,1 Iron St,02210," 501,650 ",40.3,Not Available,,"Data Center, Financial Office",2014,1696.9,3.4," 20,195,022 ",71%,0%,0%,10.78,,"Building received certificate of occupancy on 1/31/2014.  Property was occupied in different phases:  
Month             Occupancy rate
February         45.44%
March             63.62%
June               81.75%
July                90.90%
September   100.00%

This property is a single tenant property.  Reporting was completed by owner's agent.",,0602750011
Channel Trust,Yes,Office,369 Congress St,02210," 57,800 ",76.6,88,,"Office, Other",1918,289.4,5," 4,429,058 ",28%,72%,0%,10.12,,"NStar Electric consumption is compiled meter usage by NStar. 23 meters total.
2014 Was First Full Year Heating System was on Gas
Major Exterior Renovation 2014-2015, Concrete and Masonry, A lot of water was used
",,0602686000
Dockside Place Condominium,Yes,Other - Lodging/Residential,15-33 Sleeper Street,02210," 36,323 ",104.4,Not Available,,"Other - Lodging/Residential, Parking",1980,366.9,10.1," 3,792,548 ",100%,0%,0%,68.64,,,,Not Available
"DWF III 313 Congress Street, LLC",Yes,Office,313 Congress Street,02210," 72,912 ",52.5,82,2014,Office,1890,370.4,5.1," 3,829,096 ",100%,0%,0%,11.19,,,,Not Available
"DWF III 330 Congress Street, LLC",Yes,Office,330 Congress Street,02210," 36,394 ",46.8,83,2014,"Convenience Store, Office",1895,154.1,4.2," 1,703,573 ",86%,14%,0%,17.77,,,,Not Available
"DWF III A Street, LLC",Yes,Office,300 A Street,02210," 106,171 ",109.2,69,,Office,1904,922.9,8.7," 11,589,972 ",61%,39%,0%,6.11,,,,Not Available
Farnsworth Garage,Yes,Not Available,17 Farnsworth Street,02210, -   ,Not Available,Not applicable to this property type,,Parking,1987,74.9,Not Available," 774,179 ",100%,0%,0%,Not Available,,,,0602659010
Flats on D,Yes,Multifamily Housing,411 D Street,02210," 237,984 ",14.9,Not Available,,"Multifamily Housing, Retail Store",2014,314,1.3," 3,534,548 ",82%,0%,0%,3.49,,,,0602842000
Fort Point Place,Yes,Multifamily Housing,21 Wormwood Street,02210," 4,000 ",355.9,98,,Multifamily Housing,2000,119.5,29.9," 1,423,452 ",71%,29%,0%,848.58,,,,Not Available
FP 3,Yes,Multifamily Housing,346 Congress St,02210," 93,300 ",141.6,8,,Multifamily Housing,1996,777,8.3," 13,215,278 ",13%,87%,0%,4.23,,,,Not Available
Harbor Seafood,Yes,Other,8 Seafood Way,02210," 66,087 ",138.7,Not applicable to this property type,,Other,2001,835.6,12.6," 9,168,528 ",87%,13%,0%,129.34,,,,0602674003
Independence Wharf,Yes,Mixed Use Property,470 Atlantic Avenue,02210," 442,217 ",55.7,94,,"Financial Office, Office, Parking",2001,2022.2,4.9," 23,080,402 ",70%,0%,30%,10.24,,,,0302956000
Jamestown - 1 Design Center Boston,Yes,Distribution Center,1 Design Center Place,02210," 495,668 ",75.5,Not Available,,"Distribution Center, Office, Other, Restaurant",1985,2842.6,5.7," 37,403,261 ",52%,48%,0%,8.61,,,,0602674012 0602674018
Jamestown - 21-25 Drydock Ave Boston,Yes,Mixed Use Property,21-25 Drydock Ave,02210," 716,455 ",56.5,Not applicable to this property type,,"Manufacturing/Industrial, Non-Refrigerated Warehouse, Office, Other",1985,2321.7,3.2," 40,509,835 ",10%,90%,0%,5.23,,,,0602674013
MA0011ZZ - CPT JF WILLIAMS CG B,Yes,Office,408 ATLANTIC AV,02210," 176,013 ",61.2,92,"2014, 2012",Office,1918,832.6,4.7," 10,765,700 ",46%,16%,38%,5.54,30412.4,,,0302959000
Manulife - 601 Congress Street,Yes,Financial Office,601 Congress Street,02210," 617,253 ",61.2,Not Available,"2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006","Data Center, Financial Office, Parking",2004,-211.7,-0.402745595," 32,154,073 ",97%,3%,0%,11.96,,LEED project ID - 1000005675,,0602678701
Midway Studios: 15 Channel Center Street,Yes,Multifamily Housing,15 Channel Center St,02210," 203,500 ",43,36,,Multifamily Housing,2005,717.2,3.5," 8,751,906 ",66%,34%,0%,15.24,,,,0602750050
Northern Ave Bridge Tender House,Municipal,Other - Public Services,5 NORTHERN AV,02210, 400 ,402.1,Not applicable to this property type,,Other - Public Services,2000,15.6, 38.9 ," 160,828 ",100%,0%,0%,31.75,,,,
ONE Marina Park Drive,Yes,Office,ONE Marina Park Drive,02210," 663,381 ",65.4,83,,"Office, Parking, Restaurant",2009,2913.5,5.5," 34,781,976 ",70%,30%,0%,14.29,,,,0602671035
Park Lane,Yes,Multifamily Housing,One Park Lane,02210," 427,586 ",99,Not Available,,"Bank Branch, Food Sales, Multifamily Housing",2006,3363.6,7.9," 42,333,679 ",60%,40%,0%,41.62,,,,0602680150 0602680252 0602680250
SAA,Yes,Multifamily Housing,249 A Street,02210," 11,000 ",17,100,,Multifamily Housing,1983,18.1,1.6," 187,237 ",100%,0%,0%,86.12,,,,0602752000
Seaport Center,Yes,Office,70 Fargo Street,02210," 497,549 ",129.3,Not Available,,"Data Center, Office, Parking",1905,5937.3,12.5," 61,370,359 ",100%,0%,0%,,,"7/18/2014:  Tenant data centers
Monster (27,398 SF)
Verizon (28,683 SF)
BT America (4,179 SF)
TCG/ATT (11,312 SF)",,0602825000
Seaport Lofts at 437 D St Condominium,Yes,Multifamily Housing,437 D Street,02210," 13,146 ",Not Available,Not Available,,Multifamily Housing,1996,0,0, Not Available ,0%,0%,0%,,,,,0602833000
Storage,Municipal,Fire Station,302 Northern Ave,02210," 5,000 ",31.8,Not applicable to this property type,,Fire Station,2000,15.4, 3.1 ," 158,870 ",100%,0%,0%,,,,,
The Atlantic Building,Yes,Office,400 Atlantic Avenue,02210," 104,690 ",68.3,84,,Office,1899,613.5,5.9," 7,153,817 ",75%,25%,0%,11.42,,,,0302960000
The Lofts,Yes,Other - Lodging/Residential,530 Atlantic Avenue,02210," 124,123 ",31.3,Not applicable to this property type,,"Other - Lodging/Residential, Other - Restaurant/Bar",2011,375.6,3," 3,882,566 ",100%,0%,0%,29.48,,,,0302952014
Vertex ONE,Yes,Laboratory,50 Northern Ave,02210," 685,239 ",220,Not applicable to this property type,,"Laboratory, Parking, Retail Store",2013,9677.2,16.5," 128,779,740 ",50%,50%,0%,18.25,,"Parcel A - Vertex Global Headquarters
LEED project ID  1000021954",,0602671015
Vertex TWO,Yes,Laboratory,11 Fan Pier Blvd.,02210," 516,693 ",198.8,Not applicable to this property type,,Laboratory,2013,7956.7,15.4," 102,719,873 ",56%,44%,0%,16.16,,"Parcel B - Vertex Global Headquarters
LEED project ID  1000021955",,0602671017
Waterside Place,Yes,Multifamily Housing,505 Congress Street,02210," 262,000 ",48.4,63,,"Multifamily Housing, Parking",2014,984,3.9," 12,092,047 ",65%,35%,0%,16.55,,,,0602678015
Westin Boston Waterfront Hotel,Yes,Hotel,425 Summer Street,02210," 990,000 ",110.8,43,,"Hotel, Parking",2006,5699,8.2," 76,987,612 ",48%,52%,0%,32.98,,,,Not Available
World Trade Center,Yes,Office,200 Seaport Blvd,02210," 804,426 ",67.1,Not Available,,"Convenience Store, Fast Food Restaurant, Food Sales, Non-Refrigerated Warehouse, Office, Other, Restaurant, Retail Store, Social/Meeting Hall",1986,5222.5,6.5," 53,981,718 ",100%,0%,0%,12.11,,,,0602672052
World Trade Center East-Boston,Yes,Office,2 Seaport Lane,02210," 486,760 ",60.3,79,"2009, 2008","Office, Social/Meeting Hall",2000,2839.9,5.8," 29,354,910 ",100%,0%,0%,13.77,,,,0602679035
World Trade Center West,Yes,Office,155 Seaport Boulevard,02210," 551,185 ",72,70,,Office,2000,3837.6,7," 39,667,083 ",100%,0%,0%,16.41,,,,0602677010
07588-Allston,Yes,Supermarket/Grocery Store,1065 Commonwealth Ave,02215," 64,485 ",302.2,25,,Supermarket/Grocery,1999,1632.2,25.3," 19,488,360 ",70%,30%,0%,15.96,,,,2100475000
10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,02215," 384,971 ",150.9,8,,Residence Hall/Dormitory,2000,4317.9,11.2," 58,103,395 ",49%,51%,0%,44.85,,,,2100401000
100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,02215," 96,292 ",93.9,Not applicable to this property type,,Other - Stadium,2002,645.5,6.7," 9,046,388 ",42%,58%,0%,3.71,,,,Not Available
100 Bay State Road,Yes,Office,100 Bay State Road,02215," 123,678 ",163.6,Not Available,,"Food Service, Office",2012,1496.3,12.1," 20,228,426 ",48%,52%,0%,41.60,,,,Not Available
10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,02215," 66,456 ",192.5,1,,Multifamily Housing,1924,711,10.7," 12,794,801 ",6%,94%,0%,76.79,,,,2100201000
1019 Commonwealth Avenue,Yes,Residence Hall/Dormitory,1019 Commonwealth Avenue,02215," 77,750 ",65,78,,Residence Hall/Dormitory,1977,367.5,4.7," 5,050,039 ",45%,55%,0%,35.04,,,,2100468000
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,02215," 305,362 ",275.7,1,,"Data Center, Office, Parking",1990,7541.9,24.7," 84,185,056 ",84%,16%,0%,17.51,,,,2100071000 2100073000 2100070000 2100068000
110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,02215," 48,901 ",Not Available,Not applicable to this property type,,College/University,1923,Not Available,Not Available, Not Available ,0%,0%,0%,,,,,Not Available
111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),02215," 93,831 ",131.7,Not applicable to this property type,,College/University,1911,1071.1,11.4," 12,359,702 ",77%,23%,0%,9.91,,,,Not Available
111 Park Drive,Yes,Multifamily Housing,111 Park Drive,02215," 32,832 ",79.6,61,,Multifamily Housing,1920,208.1,6.3," 2,614,629 ",26%,2%,0%,46.72,,"Manually entered all meter information.  Portals from all utility companies that provided excel documents that were formatted would not upload.

Gross Sq. Ft. based on information received from Assessing Department online

",,0504272000
11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,02215," 69,435 ",98.3,79,,Office,1925,438.1,6.3," 6,828,691 ",25%,75%,0%,6.83,,,,0503757001
1140 Boylston Street,Yes,College/University,1140 Boylston Street,02215," 66,920 ",135.7,Not applicable to this property type,,College/University,1920,773.2,11.6," 9,080,485 ",73%,27%,0%,7.87,,,,Not Available
117 Park Drive,Yes,Multifamily Housing,117 Park Drive,02215," 33,360 ",76.2,Not Available,,Multifamily Housing,1920,205.7,6.2," 2,541,251 ",31%,2%,0%,43.83,,,,0504273000
120 Ashford Street,Yes,Distribution Center,120 Ashford Street,02215," 65,198 ",Not Available,Not Available,,"Distribution Center, Office, Parking",1958,0,0, Not Available ,0%,0%,0%,5.22,,,,2100414000
1295 Boylston - Ste# 535088,Yes,Office,1295 BOYLSTON ST,02215," 159,900 ",159.3,15,,"Office, Parking, Retail Store",1990,1808.6,13.8," 20,832,740 ",77%,23%,0%,10.10,,Property Management received from national grid and NStar the gas use for the missing tenants and whole building electric uses.,,0504210010
"1330 Boylston Street Properties, LLC",Yes,Multifamily Housing,1330 Boylston Street,02215," 480,485 ",64.2,Not Available,,"Multifamily Housing, Office, Parking, Retail Store",2008,1725.7,4.8," 23,202,124 ",49%,51%,0%,34.03,,,,0504314014
140 Bay State Road,Yes,Residence Hall/Dormitory,140 Bay State Road,02215," 128,887 ",89.3,63,,Residence Hall/Dormitory,1958,753.9,5.8," 11,503,429 ",28%,72%,0%,37.55,,,,0504003000
15 St. Mary's Street (736-754 Commonwealth Ave),Yes,Laboratory,15 St. Mary's Street (736-754 Commonwealth Ave),02215," 52,739 ",Not Available,Not applicable to this property type,,"Laboratory, Parking",1990,754.9,16.4, Not Available ,0%,0%,0%,16.29,,,,Not Available
160 Mass Ave,Yes,Residence Hall/Dormitory,160 Mass Ave,02215," 176,000 ",90.6,43,,Residence Hall/Dormitory,2013,1219.5,6.9," 15,941,681 ",54%,46%,0%,40.21,,,,Not Available
2 Cummington Street (23-25 Blandford Street),Yes,Laboratory,2 Cummington Street (23-25 Blandford Street),02215," 61,754 ",155.9,Not applicable to this property type,,Laboratory,1905,711.6,11.5," 9,627,205 ",48%,52%,0%,22.91,,,,2100295000
20-28 Cummington Street (24 Cummington St),Yes,Laboratory,20-28 Cummington Street (24 Cummington St),02215," 188,575 ",323.1,Not applicable to this property type,,Laboratory,1983,4650,24.7," 60,931,823 ",53%,47%,0%,46.48,,,,2100288000
213-217 Bay State Road,Yes,Worship Facility,213-217 Bay State Road,02215," 130,204 ",27.3,Not Available,,Worship Facility,2003,259,2," 3,554,082 ",45%,55%,0%,5.19,,,,Not Available
22-24 Buswell Street,Yes,Multifamily Housing,22-24 Buswell Street,02215," 35,036 ",74.7,77,,Multifamily Housing,1914,154.2,4.4," 2,618,910 ",13%,87%,0%,38.20,,,,Not Available
233 Bay State Road,Yes,Not Available,233 Bay State Road,02215, Not Available ,Not Available,Not applicable to this property type,,Not Available,1968,120.1,Not Available," 1,557,249 ",55%,45%,0%,,,LEED Project Number 1000023830,,Not Available
25 Buick Street,Yes,Office,25 Buick Street,02215," 122,472 ",Not Available,Not Available,,"Office, Parking",1928,0,0, Not Available ,0%,0%,0%,,,Check Parking ,,2100400000
260-266 Huntington Avenue,Yes,Performing Arts,260-266 Huntington Avenue,02215," 50,266 ",78.8,Not applicable to this property type,,Performing Arts,1924,283.9,5.6," 3,960,464 ",43%,57%,0%,15.33,,,,Not Available
264-270 Bay State Road,Yes,Office,264-270 Bay State Road,02215," 65,016 ",43.6,97,,Office,1913,214.5,3.3," 2,833,594 ",52%,48%,0%,29.93,,,,Not Available
273-277 Babcock Street,Yes,Residence Hall/Dormitory,273-277 Babcock Street,02215," 451,494 ",Not Available,Not Available,,Residence Hall/Dormitory,1963,4340.1,9.6, Not Available ,0%,0%,0%,44.39,,,,2100402000
278-286 Babcock Street,Yes,Not Available,278-286 Babcock Street,02215, -   ,Not Available,Not applicable to this property type,,Parking,1991,82.6,Not Available," 853,702 ",100%,0%,0%,Not Available,,,,Not Available
"285 Babcock, Case Center",Yes,Indoor Arena,"285 Babcock, Case Center",02215," 131,857 ",161,Not applicable to this property type,,Indoor Arena,1972,1426.1,10.8," 21,231,753 ",32%,68%,0%,44.16,,Shares electric meter with 273-277 Babcock Street,,2100402000
30 Bay State Road (610 Beacon Street),Yes,Residence Hall/Dormitory,30 Bay State Road (610 Beacon Street),02215," 185,149 ",Not Available,Not Available,,Residence Hall/Dormitory,1926,912.1,4.9, Not Available ,0%,0%,0%,36.07,,,,0503706000
300 Babcock Street,Yes,College/University,300 Babcock Street,02215," 88,000 ",68.6,Not applicable to this property type,,College/University,1986,420.9,4.8," 6,035,143 ",38%,62%,0%,3.09,,,,2100412001
30-38 Cummington Street,Yes,Laboratory,30-38 Cummington Street,02215," 36,563 ",236.1,Not applicable to this property type,,Laboratory,1917,640.1,17.5," 8,633,275 ",48%,52%,0%,73.24,,,,Not Available
33 Harry Agganis Way,Yes,Residence Hall/Dormitory,33 Harry Agganis,02215," 399,578 ",126.7,24,,Residence Hall/Dormitory,2008,3422.6,8.6," 50,630,450 ",33%,67%,0%,,,,, 2100401000
