Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
One Charles Condominium,Yes,Multifamily Housing,One Charles Street South,02116,326000,Not Available,Not Available,,Multifamily Housing,2004,Not Available,Not Available,Not Available,,,,28.8,,0501088139,"2015, 2016"
One Congress Street,Yes,Parking,50 New Sudbury St.,02114,295721,71.7,Not Available,,Convenience Store Fast Food Restaurant Office Parking,1966,1848.2,6.2,21191573,78%,22%,,6.3,,0302700000,"2014, 2015, 2016"
One Faneuil Hall Square,Yes,Office,One Faneuil Hall Square,02109,44287,97.2,46,,Office Retail Store,1980,351.1,7.9,4304379,65%,35%,,2.0,,Not Available,2016
One Financial Center,Yes,Office,One Financial Center,02111,1305390,52.8,85,,Office Parking,1984,6661.9,5.1,68860058,100%,,,9.7,,0304285000,"2014, 2015, 2016"
One International Place,Yes,Office,One International Place,02110,1171211,72.4,77,,Data Center Office Other - Mall Parking Personal Services Restaurant,1986,8208.8,7.0,84849618,100%,,,12.1,,0304075000,"2014, 2015, 2016"
One Liberty Square,Yes,Office,One Liberty Square,02109,173600,49.7,82,,Office,1926,834.0,4.8,8620516,100%,,,7.6,,0303833000,"2014, 2015, 2016"
ONE Marina Park Drive,Yes,Office,ONE Marina Park Drive,02210,537037,64.6,86,,Office Parking Restaurant,2009,2912.7,5.4,34707019,71%,29%,,14.8,,0602671035,"2014, 2015, 2016"
One Palace Road,Yes,Parking,1 Palace Road,02115,60000,178,Not Available,,College/University Parking,2002,815.8,13.6,10681942,53%,47%,,8.8,,0401842000,"2014, 2015, 2016"
One Post Office Square,Yes,Office,One Post Office Square,02109,831283,71.8,77,,Office Restaurant,1981,5770.9,6.9,59650909,100%,,,11.5,,0304160000,"2014, 2015, 2016"
One Washington Mall,Yes,Office,1 Washington Mall,02108,156169,74.3,84,,Office Retail Store,1972,961.0,6.2,11604221,54%,0%,46%,25.7,,0302890000,"2014, 2015, 2016"
One Western Ave,Yes,Multifamily Housing,One Western Ave,02134,241946,69.9,55,,Multifamily Housing,2003,1311.0,5.4,16908108,37%,,63%,30.7,,2200481000,"2015, 2016"
One Winthrop Square,Yes,Office,1 Winthrop Square,02110,114257,59,90,,Office,1873,551.4,4.8,6739809,66%,34%,,7.5,,0304618000,"2014, 2015, 2016"
Onyx Hotel,Yes,Hotel,155 Portland St,02114,60104,101.1,74,,Hotel,2004,439.6,7.3,6078169,44%,56%,,7.9,,0301646010,"2014, 2015, 2016"
Opioid Treatment Services,Municipal,Urgent Care/Clinic/Other Outpatient,300 Frontage Road,02127,100,Not Available,Not Available,,Urgent Care/Clinic/Outpatient,2000,0,0,Not Available,,,,,,Not Available,2016
Orchard Gardens,Yes,Multifamily Housing,25 Ambrose Street,02481,400000,1.4,100,,Multifamily Housing,1900,44.1,0.1,561676,58%,42%,,6.3,,0802195020,2016
ORCHARD GARDENS,Municipal,K-12 School,906 Albany St.,02119,141872,85.3,33,,K-12 School,2002,827.5,5.8,12103860,35%,65%,,,,Not Available,2016
Orchard Gardens Community Center,Municipal,Other - Recreation,2 Dearborn St,02119,10500,94,Not Available,,Other - Recreation,2000,62.9,6,986778,24%,76%,,,,Not Available,2016
Orient Heights Branch,Municipal,Library,18 Barnes Ave,02128,10000,5.8,Not Available,,Library,2000,4.3,0.4,57512,51%,49%,,,,Not Available,2016
OTIS,Municipal,K-12 School,218 Marion St.,02128,35100,58.5,95,,K-12 School,1905,124.8,3.6,2052649,18%,82%,,,,Not Available,2016
P.F. Redfiled LLC,Yes,Office,50 Redfield Street,02122,43000,123,10,,Office Parking,1985,495.9,11.5,5288769,93%,7%,,5.4,,02418-001,2016
Palmer Dixon Courts,Yes,Fitness Center/Health Club/Gym,780 Soldiers Field Rd,02134,44232,68.2,Not Available,,Fitness Center/Gym,1964,211.3,4.8,3018184,12%,,88%,1.7,,2200533000,"2014, 2015, 2016"
Paris Street Community Center,Municipal,Other - Recreation,112 Paris St,02128,26704,63.7,Not Available,,Other - Recreation,2000,97.7,3.7,1702092,10%,90%,,,,Not Available,2016
Paris Street Pool,Municipal,Fitness Center/Health Club/Gym,113 PARIS ST,02128,24896,142.8,Not Available,,Fitness Center/Gym,2000,213.3,8.6,3554760,16%,84%,,,,Not Available,2016
Park Associates,Yes,Multifamily Housing,231 Park Drive,02215,40000,141.6,43,,Multifamily Housing,1920,330.6,8.3,5663192,12%,88%,,102.4,,2100029000,"2015, 2016"
Park Lane,Yes,Multifamily Housing,One Park Lane,02210,427586,86.2,Not Available,,Bank Branch Food Sales Multifamily Housing,2006,3033.3,7.1,36856907,67%,33%,,44.0,,0602680150 0602680252 0602680250,"2015, 2016"
Park Science Center,Yes,College/University,300 The Fenway,02115,103200,121.7,Not Available,,College/University,1972,840.5,8.1,12559366,32%,68%,,35.4,,0401842000,"2014, 2015, 2016"
Park Square Building,Yes,Office,31 St. James Ave,02116,500000,61.5,99,,Office,1922,1939.1,3.9,30733128,23%,77%,,15.0,,Not Available,"2014, 2015, 2016"
Parker Hill,Yes,Multifamily Housing,"170 Parker Hill Avenue, Unit 16",02120,123860,36.1,100,,Multifamily Housing,1990,292.0,2.4,4465686,28%,72%,,21.8,,1001052000,"2015, 2016"
Parker Hill Branch,Municipal,Library,1497 Tremont St,02120,9136,138.4,Not Available,,Library,2000,74.9,8.2,1264371,14%,86%,,0.3,,Not Available,2016
PARKMAN,Municipal,K-12 School,25 Walk Hill St.,02130,39586,99.1,68,,K-12 School,1899,229,5.8,3924937,12%,88%,,,,Not Available,2016
Parkman House,Municipal,Other,33 Beacon St,02108,18000,60.9,Not Available,,Other,2000,77.4,4.3,1096729,40%,60%,,,,Not Available,2016
Parkside Tower,Yes,Multifamily Housing,91 Westland Avenue,02115,98021,20.6,100,,Multifamily Housing,1900,191.6,2.0,2019498,96%,4%,,53.0,,Not Available,2016
Parmelee Court,Yes,Multifamily Housing,1762 Washington Street,02118,87800,58.2,100,,Multifamily Housing Parking,1991,296.8,3.4,5109078,11%,89%,,58.2,,080160700008016100100801615010,"2015, 2016"
Parris Landing Condominium Trust: 42 8th Street,Yes,Multifamily Housing,42 8th Street,02129,290000,54.1,91,,Multifamily Housing,1979,1115.1,3.8,15686452,41%,59%,,50.4,,0203506010,"2015, 2016"
Peabody Hall,Yes,Residence Hall/Dormitory,210 Riverway,02215,60656,87.7,78,,Residence Hall/Dormitory,1910,335.1,5.5,5320255,23%,77%,,1.3,,0401998000,"2015, 2016"
Penmark Condo Association,Yes,Multifamily Housing,21 Father Francis Gilday Street,02118,74715,28.7,100,,Multifamily Housing,2009,124.1,1.7,2143752,11%,89%,,26.1,,Not Available,"2015, 2016"
PERKINS,Municipal,K-12 School,50 Rev. Burke St.,02127,28407,57,95,,K-12 School,1926,100.2,3.5,1619109,20%,80%,,,,Not Available,2016
Perkins Manor,Yes,Multifamily Housing,2 - 18 Perkins Square,02130,129236,91.1,77,,Multifamily Housing Parking,1927,890.4,6.9,11775249,7%,1%,,4635.9,,1002148001,2016
PERRY,Municipal,K-12 School,745 E. Seventh St.,02127,38774,63.1,94,,K-12 School,1904,144.1,3.7,2444832,13%,87%,,,,Not Available,2016
PHILBRICK,Municipal,K-12 School,40 Philbrick St.,02131,20062,53.5,96,,K-12 School,1913,68.5,3.4,1074010,24%,76%,,,,Not Available,2016
Phillips Brooks,Yes,Multifamily Housing,14 Fayston Street,02121,56046,114.3,23,,Multifamily Housing Parking,1845,396.2,7.1,6403753,20%,80%,,62.5,,13007340001300741010130075100013007580101300768010130085600013008570001300858000,"2015, 2016"
PHS-BWH Main Campus,Yes,Hospital (General Medical & Surgical),75 Francis Street,02115,2138279,329.7,26,,Hospital (General Medical & Surgical),1910,48754.8,22.8,704975536,28%,,36%,26.9,,0401896000,"2014, 2015, 2016"
PHS-BWH-Boston Lying In,Yes,Outpatient Rehabilitation/Physical Therapy,221 Longwood Avenue,02215,247418,383.5,Not Available,,Outpatient Rehabilitation/Physical Therapy,1930,6423.8,26.0,94896726,27%,0%,44%,24.6,,0401845000,"2014, 2015, 2016"
PHS-BWH-ServiCenter Garage,Yes,Parking,"500 Brookline Avenue, or",02115,71806,225.1,Not Available,,Medical Office Parking,1970,1057.8,14.7,16160877,22%,0%,47%,1.2,,1000240000,"2014, 2015, 2016"
PHS-Faulkner Hospital,Yes,Hospital (General Medical & Surgical),1153 Centre Street,02130,454917,253.2,30,,Hospital (General Medical & Surgical),1903,6967.2,15.3,115203157,38%,44%,0%,57.1,,1902600000,"2014, 2016"
PHS-MGH Institute of Health Professions,Yes,Office,36 First Avenue,02129,64925,72.5,72,,Office,1865,289.0,4.5,4703861,86%,14%,0%,10.0,,0203504000 0203504001,2016
PHS-MGH Main Campus,Yes,Hospital (General Medical & Surgical),55 Fruit St.,02114,3912529,261.9,14,,Hospital (General Medical & Surgical) Parking,1811,28730.6,7.3,1024728868,40%,0%,59%,39.4,,0300370000 0300445000 0300445001 0300370000,"2014, 2015, 2016"
PHS-MGH-125 Nashua St,Yes,Office,125 Nashua Street,02114,192000,Not Available,Not Available,,Office,1968,0.0,0.0,Not Available,,,,,,Not Available,"2014, 2015, 2016"
PHS-MGH-Charles River Health Club,Yes,Fitness Center/Health Club/Gym,10 Whittier Place,02114,66655,96.7,Not Available,,Fitness Center/Gym,1964,364.2,5.5,6448699,35%,65%,0%,23.6,,0300450972,"2014, 2015, 2016"
PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,02129,51880,351.6,Not Available,,Laboratory,1848,1058.8,20.4,18243182,51%,49%,0%,35.1,,0203510155,"2014, 2015, 2016"
PHS-MGH-CNY Bldg 114,Yes,Medical Office,114 16th Street,02129,160352,283.3,15,,Medical Office,1904,2564.5,16.0,45428464,35%,65%,0%,46.2,,0203510050,"2014, 2015, 2016"
PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,02129,733715,262.3,16,,Medical Office,1919,11232.4,15.3,192468038,54%,46%,0%,49.5,,0203510451,"2014, 2015, 2016"
PHS-MGH-CRP 165,Yes,Medical Office,165 Cambridge St.,02114,157187,157,17,,Medical Office,1965,765.6,4.9,24681427,46%,0%,54%,42.3,,0300660024,"2014, 2015, 2016"
PHS-MGH-CRP 175,Yes,Medical Office,175 Cambridge St.,02114,90472,86.1,33,,Medical Office,2004,488.6,5.4,7786935,100%,0%,0%,9.0,,0300660020,"2014, 2015, 2016"
PHS-MGH-Simches,Yes,Medical Office,185 Cambridge St,02114,353535,351.2,24,,Medical Office,2000,4092.6,11.6,124154906,49%,0%,51%,54.4,,Not Available,"2014, 2015, 2016"
PHS-Spaulding Rehab Boston -125 Nashua St,Yes,Other - Specialty Hospital,125 Nashua St,02114,220339,Not Available,Not Available,,Other - Specialty Hospital,1970,0.0,0.0,Not Available,,,,,,0301927600,"2014, 2015, 2016"
PHS-Spaulding Rehabilitation Hospital - CNY,Yes,Hospital (General Medical & Surgical),300 First Ave,02129,253054,263,72,,Hospital (General Medical & Surgical),2012,3673.4,14.5,66550692,22%,78%,0%,39.9,,Not Available,2016
PHS-Spaulding Rehabilitation Hospital - West Roxbury,Yes,Hospital (General Medical & Surgical),1245 Centre Street,02132,50242,127.8,100,,Hospital (General Medical & Surgical) Parking,1980,371.5,7.4,6419933,49%,51%,0%,,,Not Available,"2014, 2015, 2016"
PHS-Spaulding Rehabilitation Hospital- North End,Yes,Hospital (General Medical & Surgical),70 Fulton Street,121091402,39938,180,100,,Hospital (General Medical & Surgical) Parking,1960,412.5,10.3,7190499,44%,56%,0%,17.4,,Not Available,"2014, 2015, 2016"
Pi Alley Garage,Yes,Parking,275 Washington St,02108,23000,322,Not Available,,Other Parking,1970,670.8,29.2,7406183,86%,14%,,47.3,,0302875000,"2014, 2015, 2016"
Piano Craft Guild,Yes,Multifamily Housing,791 Tremont Street,02118,177600,86.8,41,,Multifamily Housing,1972,956.2,5.4,15422670,20%,80%,,27.5,,0901071000,"2015, 2016"
Piano Row,Yes,Residence Hall/Dormitory,144/150 Boylston St,02116,199874,Not Available,Not Available,,Residence Hall/Dormitory,2006,Not Available,0.0,Not Available,,,,,,0500031000,"2014, 2015, 2016"
Pier 4,Yes,Multifamily Housing,142 Northern Avenue,02210,419826,37.2,Not Available,,Multifamily Housing,2006,1239.8,3.0,15607079,60%,40%,,,,Not Available,2016
Pino Community Center,Municipal,Social/Meeting Hall,86 Boardman St,02128,11250,68.2,Not Available,,Social/Meeting Hall,2000,40.8,3.6,767300,,100%,,,,Not Available,2016
Pipefitters Training Center,Yes,Other - Education,40 Enterprise St.,02125,36145,90.8,Not Available,,Other - Education,1963,213.0,5.9,3282938,27%,73%,,2.5,,0703517000,2016
Pistol Range,Municipal,Police Station,86 Moon Island Rd,02171,1000,235,Not Available,,Police Station,2000,22.7,22.7,235036,100%,,,,,Not Available,2016
Pondview: 560 Centre St,Yes,Multifamily Housing,560 Centre St,02130,50297,84.4,61,,Multifamily Housing,2000,258.4,5.1,4243149,18%,82%,,73.0,,1900914000,"2015, 2016"
Posner Hall,Yes,College/University,200 Harrison Avenue,02111,60284,95.9,Not Available,,College/University,1951,395.2,6.6,5779673,35%,65%,,31.3,,0305081000,"2014, 2015, 2016"
Presentation Realty,Yes,Office,17 Electric Avenue,02135,8324,Not Available,Not Available,,Office,1950,0.0,0.0,Not Available,,,,13.5,,2202671010,2016
Prudential Tower,Yes,Office,800 Boylston Street,02199,1518646,112,60,,Office Parking,1965,14189.7,9.3,170020462,57%,3%,40%,13.4,,0401037100,"2014, 2015, 2016"
Queensberry Court Condominium,Yes,Multifamily Housing,62-66 Queensberry St,02215,48000,95.6,82,,Multifamily Housing,1920,278.7,5.8,4589062,17%,83%,,45.1,,504283000,"2015, 2016"
Queensberry Street Garage,Yes,Parking,59-75 queensberry street,02215,50600,3.9,Not Available,,Parking,1920,19.3,0.4,199212,100%,,,1.2,,0504294000,"2014, 2016"
QUINCY,Municipal,K-12 School,885 Washington St.,02111,212079,67.9,50,,K-12 School,1976,1037.6,4.9,14390775,44%,56%,,,,Not Available,2016
QUINCY CHURCH,Municipal,K-12 School,20 Church St.,02116,17640,46.5,96,,K-12 School,1999,56.5,3.2,819771,36%,64%,,,,Not Available,2016
Quincy Geneva II,Yes,Multifamily Housing,122 Devon Street,02121,80641,144.7,9,,Multifamily Housing,1910,705.8,8.8,11665080,17%,83%,,97.1,,140031400014003670201400367021140036702214003670231400367023140036702414003670251400367026140054000014005410001400542000140054300014005460001400547000140054800014005620001400562000,"2015, 2016"
QUINCY MODULARS,Municipal,K-12 School,900 Washington St.,02111,16960,44.6,94,,K-12 School,2000,56.5,3.3,756865,49%,51%,,,,Not Available,2016
Quincy Towers,Yes,Multifamily Housing,Quincy Tower,02111,123197,71.1,92,,Multifamily Housing,1900,524.0,4.3,8754450,15%,85%,,70.1,,0305550000,"2015, 2016"
Radian,Yes,Multifamily Housing,120 Kingston,02111,231000,51.2,57,,Multifamily Housing,2014,996.6,4.3,11825188,71%,29%,,22.1,,0304308000,2016
Ramada Boston,Yes,Hotel,800 Morrissey Blvd,02122,59200,109.6,21,,Hotel,1972,513.7,8.7,6489086,60%,40%,,81.9,,1602588000,"2014, 2015, 2016"
RAP-UP I,Yes,Not Available,530 Warren Street,02121,Not Available,Not Available,Not Available,,,1900,0.0,Not Available,Not Available,,,,,,Not Available,2016
Readville,Yes,Distribution Center,Sprague Street,02136,41250,6.9,99,,Distribution Center,1950,19.0,0.5,286535,30%,70%,,,,Not Available,2016
"RECP V 18 Tremont Owner, LLC",Yes,Office,18 Tremont Street,02108,210669,27874.2,1,,Office,1915,389989.8,1851.2,5872237616,0%,,100%,7.2,,Not Available,"2014, 2015, 2016"
Regency Building 1455,Yes,Multifamily Housing,1455,02135,103000,Not Available,Not Available,,Multifamily Housing Parking,1968,Not Available,Not Available,Not Available,,,,28.8,,01829-000,"2015, 2016"
Regina Cleri,Yes,Senior Care Community,60 Wm. Cardinal O'Connell Way,02114,63723,91.6,70,,Senior Care Community,1964,381.5,6.0,5838301,28%,72%,,34.9,,0300618000,"2015, 2016"
Renaissance Park,Yes,Office,1135 Tremont Street,02120,157421,84.7,96,,Data Center Office,1993,1122.5,7.1,13330766,71%,29%,,15.5,,0902704020,"2014, 2015, 2016"
Renaissance Park Garage LLC,Yes,Other,1125 Tremont St,02120,319764,5.5,Not Available,,Other,2001,169.5,0.5,1752201,100%,,,0.0,,0901352010,"2014, 2015, 2016"
Reservoir Towers: Reservoir Towers,Yes,Multifamily Housing,1925 Commonwealth Avenue,02135,225370,83.8,40,,Multifamily Housing,1978,1271.6,5.6,18896908,32%,68%,,70.5,,2102474000,"2015, 2016"
Residence Hall,Yes,College/University,33 Gainsborough Street,02115,54000,134.2,Not Available,,College/University,1956,444.6,8.2,7248211,19%,81%,,29.4,,Not Available,2016
"Residences at Copley Place, The",Yes,Multifamily Housing,16 Harcourt Street,02115,157450,36,60,,Multifamily Housing,1900,548.5,3.5,5669093,100%,,,23.2,,0400985010,"2015, 2016"
Revere Hotel,Yes,Mixed Use Property,200 Stuart Street,02116,389160,94.9,Not Available,,Hotel Parking Restaurant,2010,3053.9,7.8,36938624,61%,17%,23%,33.9,,500135000,"2014, 2015, 2016"
Ridgeway Building,Yes,College/University,148 Cambridge Street,02108,46790,116.4,Not Available,,College/University,1989,363.1,7.8,5445081,31%,69%,,11.8,,Not Available,2016
Riley House: 39 Maple Avenue,Yes,Multifamily Housing,39 Maple Avenue,02136,46834,68.9,31,,Multifamily Housing,2000,213.2,4.6,3227962,30%,70%,,24.8,,1809143010,"2015, 2016"
River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,02021,178000,52.5,96,,Multifamily Housing,1900,605.2,3.4,9347146,27%,73%,,31.3,,0502442001,"2015, 2016"
Riverway House,Yes,Residence Hall/Dormitory,160-162 Riverway,02215,36940,52.3,88,,Residence Hall/Dormitory,1910,140.4,3.8,1933791,45%,55%,,3.4,,0402000000,"2015, 2016"
Riverway Plaza,Yes,Strip Mall,75 Federal Street 4th Floor,02110,62000,4.6,Not Available,,Parking Strip Mall,1980,26.2,0.4,287535,87%,13%,,19.9,,1704030000,"2014, 2015, 2016"
Riverway Square Condominium,Yes,Multifamily Housing,even only 114-122 Riverway,02215,64400,116.5,52,,Multifamily Housing,1920,439.7,6.8,7502066,13%,87%,,27.8,,402005000,"2015, 2016"
Road Scholar,Yes,Office,11 Avenue de Lafayette,02111,60000,52.3,84,,Office,1892,303.6,5.1,3140400,100%,0%,,12.0,,Not Available,"2015, 2016"
Roche Community Center,Municipal,Social/Meeting Hall,1716 CENTRE ST,02132,18600,78.9,Not Available,,Social/Meeting Hall,2000,98.1,5.3,1467971,31%,69%,,,,Not Available,2016
Rock Center,Yes,Office,60 North Harvard Street,02163,27782,87,58,,Office,1969,191.6,6.9,2416463,42%,,58%,21.8,,2200530000,"2014, 2015, 2016"
Rockingham Glen,Yes,Multifamily Housing,30 Rockingham Ave.,02132,142900,67.5,83,,Multifamily Housing Parking,1974,621.1,4.3,9642844,26%,74%,,32.0,,2003041000,"2015, 2016"
ROGERS,Municipal,K-12 School,15 Everett St,02136,108832,54.3,96,,K-12 School,1902,338,3.1,5913990,9%,91%,,,,Not Available,2016
Rollins Square,Yes,Multifamily Housing,2 Rollins Street,02118,399507,52.0,90,,Multifamily Housing Retail Store,2003,1386.5,3.5,20782119,31%,69%,,23.8,,0306455010,"2015, 2016"
ROOSEVELT,Municipal,K-12 School,95 Needham Rd.,02136,40268,71.7,87,,K-12 School,1967,174.6,4.3,2886007,17%,83%,,,,Not Available,2016
Roslindale Branch,Municipal,Library,4246 Washington St,02131,13600,72.7,Not Available,,Library,2000,67.1,4.9,988413,34%,66%,,,,Not Available,2016
Roslindale Community Center,Municipal,Social/Meeting Hall,6 Cummins Highway,02131,36960,76.2,Not Available,,Social/Meeting Hall,2000,195.5,5.3,2817050,37%,63%,,,,Not Available,2016
Roslindale Senior Housing Corp.,Yes,Other - Lodging/Residential,120 Poplar Street ,02131,58153,152.7,Not Available,,Other - Lodging/Residential,1987,595.5,10.2,8878911,32%,68%,,53.1,,Not Available,"2015, 2016"
Roxbury Corners,Yes,Multifamily Housing,1801 Washington Street,02118,88733,62,97,,Multifamily Housing Parking,1991,327.0,3.7,5504052,14%,86%,,54.0,,0900881000090088200009008830000901180010,"2015, 2016"
Roxbury Home for Aged,Yes,Senior Care Community,1205 Centre Street ,02132,72254,138.3,9,,Senior Care Community,2006,610.8,8.5,9989783,18%,82%,,37.3,,2003597001,"2015, 2016"
Roxse Homes,Yes,Multifamily Housing,1030 Tremont Street,02120,152000,82.0,96,,Multifamily Housing,1974,779.3,5.1,12468345,22%,78%,,69.2,,902000010,"2015, 2016"
Roxse Homes - 10 - 70 Kendall,Yes,Multifamily Housing,10 Kendall Street,02118,89000,155.1,9,,Multifamily Housing,1974,820.3,9.2,13807961,14%,86%,,119.4,,0901580000,"2015, 2016"
"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,02115,81306,67.6,Not Available,,College/University,1926,341.0,4.2,5493067,21%,79%,,36.8,,Not Available,"2014, 2015, 2016"
RUSSELL,Municipal,K-12 School,750 Columbia Rd.,02125,53585,88.3,77,,K-12 School,1903,273.4,5.1,4731422,11%,89%,,,,Not Available,2016
SAA,Yes,Multifamily Housing,249 A Street,02210,72000,14.2,100,,Multifamily Housing,1983,98.9,1.4,1022258,100%,,,13.0,,0602752000,"2015, 2016"
Sackler Center,Yes,College/University,145 Harrison Avenue,02111,133787,164.7,Not Available,,College/University,1986,1788.6,13.4,22037933,49%,,51%,14.8,,0305371000,"2014, 2015, 2016"
Saint Botolph,Yes,Multifamily Housing,150 Saint Botolph Street,02115,102004,84.8,46,,Multifamily Housing,1920,555.0,5.4,8648389,25%,75%,,54.3,,0402385000,2016
Saint Francis House Inc,Yes,Mixed Use Property,39 Boylston St. ,02116,100000,64,Not Available,,Office Other,1900,447.9,4.5,6403012,39%,61%,,31.1,,Not Available,"2014, 2016"
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,02109,230000,42.4,92,,Multifamily Housing,1987,857.3,3.7,9746105,61%,,,32.4,,0303039000,"2015, 2016"
Sargent Hall,Yes,Other,120 Tremont Street,02108,287358,64.9,Not Available,,Other,1996,1786.9,6.2,18635836,98%,2%,,18.9,,Not Available,"2014, 2016"
Sasha LP,Yes,Self-Storage Facility,100 Southampton St,02118,50880,29.6,Not Available,,Self-Storage Facility,1984,96.5,1.9,1505536,25%,75%,,1.7,,01027050,2016
Savin Hill Apartments,Yes,Multifamily Housing,130 Auckland Street,02125,141325,56.2,92,,Multifamily Housing Parking,1982,505.6,3.6,7948575,24%,76%,,35.8,,1503123000,"2015, 2016"
Sawyer Building,Yes,Office,8 Ashburton Place,02108,149634,70.1,Not Available,,Data Center Office,1920,943.7,6.3,10494722,84%,16%,,16.3,,Not Available,"2014, 2016"
School,Yes,Other - Education,197 Center Street,021242339,37680,5.6,Not Available,,Other - Education,1925,20.2,0.5,211058,97%,3%,,5.8,,Not Available,2016
School House Apartments - Brookledge Cummins,Yes,Multifamily Housing,20 Hutchings Street,02121,57000,62.2,90,,Multifamily Housing,2008,206.4,3.6,3546209,12%,88%,,34.6,,1202311000,"2015, 2016"
School of Dental Medicine,Yes,Medical Office,188 Longwood Ave,02115,40251,205.1,12,,Medical Office,1909,582.1,14.5,8255295,25%,0%,48%,28.6,,0401882000,"2015, 2016"
School Of Management and Academic Building,Yes,Parking,300R The Fenway,02115,66500,264.7,Not Available,,College/University Office Parking,2009,1462.0,22.0,17604293,69%,31%,,4.0,,0401842000,"2014, 2015, 2016"
School of the Museum of Fine Arts,Yes,Other - Education,230 The Fenway,02115,110000,43.3,Not Available,,Other - Education,1987,436.2,4.0,4763488,88%,12%,,10.4,,0401806000,"2014, 2016"
Schoolhouse at Lower Mills,Yes,Multifamily Housing,40 River Street,02126,53065,17.2,Not Available,,Multifamily Housing Parking,2008,88.1,1.7,911008,100%,,,46.4,,Not Available,"2015, 2016"
Schraffts Center,Yes,Office,529 Main Street,02129,609636,60.1,85,,Office Parking,1928,3225.2,5.3,36667420,80%,20%,,1480.8,,0201829000 0201829002,"2014, 2015, 2016"
Seaport Center,Yes,Office,70 Fargo Street,02210,474728,106.2,Not Available,,Data Center Office Parking,1905,4876.4,10.3,50404228,100%,,,10.2,,0602825000,"2014, 2015, 2016"
Seaport Lofts at 437 D St Condominium,Yes,Multifamily Housing,437 D Street,02210,13146,Not Available,Not Available,,Multifamily Housing,1996,Not Available,0.0,Not Available,,,,,,0602833000,"2014, 2015, 2016"
Sears Crescent Building,Yes,Office,100 City Hall Plaza,02108,50300,116.8,Not Available,,Office Other Retail Store,1816,467.6,9.3,5874390,61%,39%,,15.7,,0302897000,2016
Seeley Mudd,Yes,Laboratory,250 Longwood,02115,91622,486.9,Not Available,,Laboratory,1977,3133.6,34.2,44614199,24%,0%,51%,34.9,,0401882000,"2014, 2015, 2016"
SFH-48 Boylston St. LLC,Yes,Other,48 Boylston St. ,02116,85000,18.1,Not Available,,Other,1875,97.1,1.1,1535396,23%,77%,,0.2,,Not Available,2016
SFR Holdings LLC,Yes,Office,1550 Soldiers Field Road,02135,44800,28.8,Not Available,,Office,1955,124.8,2.8,1290378,100%,,,5.2,,Not Available,2016
Shad Hall,Yes,Mixed Use Property,70 North Harvard Street,02163,132424,129.8,Not Available,,Data Center Office Other - Recreation,1990,1327.4,10.0,17194649,50%,33%,17%,15.3,24449,2200530000,"2014, 2015, 2016"
Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,02115,436096,418.2,1,,Hospital (General Medical & Surgical),2008,12603.5,28.9,182392589,40%,0%,60%,73.7,,1000247010,"2015, 2016"
Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,02215,60077,63,90,,Multifamily Housing,1920,243.5,4.1,3784103,26%,74%,,36.7,,2100005010,2016
SHAW PA,Municipal,K-12 School,429 Norfolk St.,02124,32706,41,100,,K-12 School,1919,80.8,2.5,1339452,16%,84%,,,,Not Available,2016
SHAW RG,Municipal,K-12 School,20 Mt. Vernon St.,02132,93374,58.2,92,,K-12 School,1919,326.7,3.5,5437459,16%,84%,,,,Not Available,2016
Shelburne Community Center,Municipal,Other - Recreation,2730 Washington St,02119,25292,157.4,Not Available,,Other - Recreation,2000,262.3,10.4,3981639,29%,71%,,,,Not Available,2016
Sheraton Boston,Yes,Hotel,39 Dalton Street,02199,1050000,108,56,,Hotel Parking Restaurant,1965,7677.7,7.3,113444899,33%,67%,,36.0,,0401037300,"2014, 2015, 2016"
Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,02130,117770,120.1,72,,Parking Senior Care Community,1970,987.4,8.4,14139111,38%,62%,,39.8,,1001629000,"2014, 2015, 2016"
Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,02129,91379,27.6,89,,Multifamily Housing Office Parking,1984,244.4,2.7,2526299,100%,,,25.4,,203515600,"2015, 2016"
