Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported, Total Source Energy (kBTU) ,Source EUI (kBTU/sf)
PHS-MGH-125 Nashua St,Yes,Office,125 Nashua Street,2114,192000,Not Available,Not Available,,Office,1968,0,0,Not Available,,,,,,Not Available,2014 2015 2016,#VALUE!,#VALUE!
PHS-MGH-Charles River Health Club,Yes,Fitness Center/Health Club/Gym,10 Whittier Place,2114,66655,96.7,Not Available,,Fitness Center/Gym,1964,364.2,5.5,6448699,0.35,0.65,0.00,23.6,,300450972,2014 2015 2016,11488356.38,172.3555079
PHS-MGH-CNY 75,Yes,Laboratory,75 Thirteenth St.,2129,51880,351.6,Not Available,,Laboratory,1848,1058.8,20.4,18243182,0.51,0.49,0.00,35.1,,203510155,2014 2015 2016,38600748.16,744.0390933
PHS-MGH-CNY Bldg 114,Yes,Medical Office,114 16th Street,2129,160352,283.3,15,,Medical Office,1904,2564.5,16,45428464,0.35,0.65,0.00,46.2,,203510050,2014 2015 2016,80930808.26,504.7071958
PHS-MGH-CNY Bldg. 149,Yes,Medical Office,149 13th Street,2129,733715,262.3,16,,Medical Office,1919,11232.4,15.3,192468038,0.54,0.46,0.00,49.5,,203510451,2014 2015 2016,419310866.9,571.4901112
PHS-MGH-CRP 165,Yes,Medical Office,165 Cambridge St.,2114,157187,157,17,,Medical Office,1965,765.6,4.9,24681427,0.46,0,0.54,42.3,,300660024,2014 2015 2016,51643418.06,328.5476411
PHS-MGH-CRP 175,Yes,Medical Office,175 Cambridge St.,2114,90472,86.1,33,,Medical Office,2004,488.6,5.4,7786935,1,0,0.00,9,,300660020,2014 2015 2016,24450974.96,270.2601353
PHS-MGH-Simches,Yes,Medical Office,185 Cambridge St,2114,353535,351.2,24,,Medical Office,2000,4092.6,11.6,124154906,0.49,0,0.51,54.4,,Not Available,2014 2015 2016,267007540.6,755.2506559
PHS-Spaulding Rehab Boston -125 Nashua St,Yes,Other - Specialty Hospital,125 Nashua St,2114,220339,Not Available,Not Available,,Other - Specialty Hospital,1970,0,0,Not Available,,,,,,301927600,2014 2015 2016,#VALUE!,#VALUE!
PHS-Spaulding Rehabilitation Hospital - CNY,Yes,Hospital (General Medical & Surgical),300 First Ave,2129,253054,263,72,,Hospital (General Medical & Surgical),2012,3673.4,14.5,66550692,0.22,0.78,0.00,39.9,,Not Available,2016,100478234.8,397.0624245
PHS-Spaulding Rehabilitation Hospital - West Roxbury,Yes,Hospital (General Medical & Surgical),1245 Centre Street,2132,50242,127.8,100,,Hospital (General Medical & Surgical) Parking,1980,371.5,7.4,6419933,0.49,0.51,0.00,,,Not Available,2014 2015 2016,13315583.66,265.0289331
PHS-Spaulding Rehabilitation Hospital- North End,Yes,Hospital (General Medical & Surgical),70 Fulton Street,121091402,39938,180,100,,Hospital (General Medical & Surgical) Parking,1960,412.5,10.3,7190499,0.44,0.56,0.00,17.4,,Not Available,2014 2015 2016,14162406.83,354.609816
Pi Alley Garage,Yes,Parking,275 Washington St,2108,23000,322,Not Available,,Other Parking,1970,670.8,29.2,7406183,0.86,0.14,,47.3,,302875000,2014 2015 2016,21088365.47,916.8854554
Piano Craft Guild,Yes,Multifamily Housing,791 Tremont Street,2118,177600,86.8,41,,Multifamily Housing,1972,956.2,5.4,15422670,0.2,0.8,,27.5,,901071000,2015 2016,22640479.56,127.4801777
Piano Row,Yes,Residence Hall/Dormitory,144/150 Boylston St,2116,199874,Not Available,Not Available,,Residence Hall/Dormitory,2006,Not Available,0,Not Available,,,,,,500031000,2014 2015 2016,#VALUE!,#VALUE!
Pier 4,Yes,Multifamily Housing,142 Northern Avenue,2210,419826,37.2,Not Available,,Multifamily Housing,2006,1239.8,3,15607079,0.6,0.4,,,,Not Available,2016,35958710.02,85.65146041
Pino Community Center,Municipal,Social/Meeting Hall,86 Boardman St,2128,11250,68.2,Not Available,,Social/Meeting Hall,2000,40.8,3.6,767300,,1,,,,Not Available,2016,805665,71.61466667
Pipefitters Training Center,Yes,Other - Education,40 Enterprise St.,2125,36145,90.8,Not Available,,Other - Education,1963,213,5.9,3282938,0.27,0.73,,2.5,,703517000,2016,5299646.813,146.6218512
Pistol Range,Municipal,Police Station,86 Moon Island Rd,2171,1000,235,Not Available,,Police Station,2000,22.7,22.7,235036,1,,,,,Not Available,2016,738011.784,738.011784
Pondview: 560 Centre St,Yes,Multifamily Housing,560 Centre St,2130,50297,84.4,61,,Multifamily Housing,2000,258.4,5.1,4243149,0.18,0.82,,73,,1900914000,2015 2016,6051578.961,120.3168969
Posner Hall,Yes,College/University,200 Harrison Avenue,2111,60284,95.9,Not Available,,College/University,1951,395.2,6.6,5779673,0.35,0.65,,31.3,,305081000,2014 2015 2016,10296487.45,170.7996724
Presentation Realty,Yes,Office,17 Electric Avenue,2135,8324,Not Available,Not Available,,Office,1950,0,0,Not Available,,,,13.5,,2202671010,2016,#VALUE!,#VALUE!
Prudential Tower,Yes,Office,800 Boylston Street,2199,1518646,112,60,,Office Parking,1965,14189.7,9.3,170020462,0.57,0.03,0.40,13.4,,401037100,2014 2015 2016,391268089.2,257.642722
Queensberry Court Condominium,Yes,Multifamily Housing,62-66 Queensberry St,2215,48000,95.6,82,,Multifamily Housing,1920,278.7,5.8,4589062,0.17,0.83,,45.1,,504283000,2015 2016,6449008.829,134.3543506
Queensberry Street Garage,Yes,Parking,59-75 queensberry street,2215,50600,3.9,Not Available,,Parking,1920,19.3,0.4,199212,1,,,1.2,,504294000,2014 2016,625525.68,12.36216759
QUINCY,Municipal,K-12 School,885 Washington St.,2111,212079,67.9,50,,K-12 School,1976,1037.6,4.9,14390775,0.44,0.56,,,,Not Available,2016,28344071.23,133.6486462
QUINCY CHURCH,Municipal,K-12 School,20 Church St.,2116,17640,46.5,96,,K-12 School,1999,56.5,3.2,819771,0.36,0.64,,,,Not Available,2016,1477555.25,83.76163551
Quincy Geneva II,Yes,Multifamily Housing,122 Devon Street,2121,80641,144.7,9,,Multifamily Housing,1910,705.8,8.8,11665080,0.17,0.83,,97.1,,1.4003E+179,2015 2016,16392936.92,203.2829073
QUINCY MODULARS,Municipal,K-12 School,900 Washington St.,2111,16960,44.6,94,,K-12 School,2000,56.5,3.3,756865,0.49,0.51,,,,Not Available,2016,1569812.867,92.55972092
Quincy Towers,Yes,Multifamily Housing,Quincy Tower,2111,123197,71.1,92,,Multifamily Housing,1900,524,4.3,8754450,0.15,0.85,,70.1,,305550000,2015 2016,11936692.58,96.89109779
Radian,Yes,Multifamily Housing,120 Kingston,2111,231000,51.2,57,,Multifamily Housing,2014,996.6,4.3,11825188,0.71,0.29,,22.1,,304308000,2016,29963843.87,129.7136098
Ramada Boston,Yes,Hotel,800 Morrissey Blvd,2122,59200,109.6,21,,Hotel,1972,513.7,8.7,6489086,0.6,0.4,,81.9,,1602588000,2014 2015 2016,14950854.14,252.5482119
RAP-UP I,Yes,Not Available,530 Warren Street,2121,Not Available,Not Available,Not Available,,,1900,0,Not Available,Not Available,,,,,,Not Available,2016,#VALUE!,#VALUE!
Readville,Yes,Distribution Center,Sprague Street,2136,41250,6.9,99,,Distribution Center,1950,19,0.5,286535,0.3,0.7,,,,Not Available,2016,480519.195,11.64895018
"RECP V 18 Tremont Owner, LLC",Yes,Office,18 Tremont Street,2108,210669,27874.2,1,,Office,1915,389989.8,1851.2,5872237616,0,,1.00,7.2,,Not Available,2014 2015 2016,7046685139,33449.08429
Regency Building 1455,Yes,Multifamily Housing,1455,2135,103000,Not Available,Not Available,,Multifamily Housing Parking,1968,Not Available,Not Available,Not Available,,,,28.8,,01829-000,2015 2016,#VALUE!,#VALUE!
Regina Cleri,Yes,Senior Care Community,60 Wm. Cardinal O'Connell Way,2114,63723,91.6,70,,Senior Care Community,1964,381.5,6,5838301,0.28,0.72,,34.9,,300618000,2015 2016,9546789.795,149.8170173
Renaissance Park,Yes,Office,1135 Tremont Street,2120,157421,84.7,96,,Data Center Office,1993,1122.5,7.1,13330766,0.71,0.29,,15.5,,902704020,2014 2015 2016,33778826.95,214.5763713
Renaissance Park Garage LLC,Yes,Other,1125 Tremont St,2120,319764,5.5,Not Available,,Other,2001,169.5,0.5,1752201,1,,,0,,901352010,2014 2015 2016,5501911.14,17.20616186
Reservoir Towers: Reservoir Towers,Yes,Multifamily Housing,1925 Commonwealth Avenue,2135,225370,83.8,40,,Multifamily Housing,1978,1271.6,5.6,18896908,0.32,0.68,,70.5,,2102474000,2015 2016,32480005.47,144.1185849
Residence Hall,Yes,College/University,33 Gainsborough Street,2115,54000,134.2,Not Available,,College/University,1956,444.6,8.2,7248211,0.19,0.81,,29.4,,Not Available,2016,10488885.7,194.2386241
"Residences at Copley Place, The",Yes,Multifamily Housing,16 Harcourt Street,2115,157450,36,60,,Multifamily Housing,1900,548.5,3.5,5669093,1,,,23.2,,400985010,2015 2016,17800952.02,113.057809
Revere Hotel,Yes,Mixed Use Property,200 Stuart Street,2116,389160,94.9,Not Available,,Hotel Parking Restaurant,2010,3053.9,7.8,36938624,0.61,0.17,0.23,33.9,,500135000,2014 2015 2016,87540845.02,224.948209
Ridgeway Building,Yes,College/University,148 Cambridge Street,2108,46790,116.4,Not Available,,College/University,1989,363.1,7.8,5445081,0.31,0.69,,11.8,,Not Available,2016,9245203.03,197.5892932
Riley House: 39 Maple Avenue,Yes,Multifamily Housing,39 Maple Avenue,2136,46834,68.9,31,,Multifamily Housing,2000,213.2,4.6,3227962,0.3,0.7,,24.8,,1809143010,2015 2016,5413292.609,115.5846737
River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,2021,178000,52.5,96,,Multifamily Housing,1900,605.2,3.4,9347146,0.27,0.73,,31.3,,502442001,2015 2016,15089097.79,84.77021229
Riverway House,Yes,Residence Hall/Dormitory,160-162 Riverway,2215,36940,52.3,88,,Residence Hall/Dormitory,1910,140.4,3.8,1933791,0.45,0.55,,3.4,,402000000,2015 2016,3849210.986,104.2017051
Riverway Plaza,Yes,Strip Mall,75 Federal Street 4th Floor,2110,62000,4.6,Not Available,,Parking Strip Mall,1980,26.2,0.4,287535,0.87,0.13,,19.9,,1704030000,2014 2015 2016,824736.6405,13.30220388
Riverway Square Condominium,Yes,Multifamily Housing,even only 114-122 Riverway,2215,64400,116.5,52,,Multifamily Housing,1920,439.7,6.8,7502066,0.13,0.87,,27.8,,402005000,2015 2016,9915480.632,153.9670906
Road Scholar,Yes,Office,11 Avenue de Lafayette,2111,60000,52.3,84,,Office,1892,303.6,5.1,3140400,1,0,,12,,Not Available,2015 2016,9860856.314,164.3476052
Roche Community Center,Municipal,Social/Meeting Hall,1716 CENTRE ST,2132,18600,78.9,Not Available,,Social/Meeting Hall,2000,98.1,5.3,1467971,0.31,0.69,,,,Not Available,2016,2492467.791,134.0036447
Rock Center,Yes,Office,60 North Harvard Street,2163,27782,87,58,,Office,1969,191.6,6.9,2416463,0.42,,0.58,21.8,,2200530000,2014 2015 2016,4868689.652,175.2461901
Rockingham Glen,Yes,Multifamily Housing,30 Rockingham Ave.,2132,142900,67.5,83,,Multifamily Housing Parking,1974,621.1,4.3,9642844,0.26,0.74,,32,,2003041000,2015 2016,15364907.63,107.5220968
ROGERS,Municipal,K-12 School,15 Everett St,2136,108832,54.3,96,,K-12 School,1902,338,3.1,5913990,0.09,0.91,,,,Not Available,2016,7322110.648,67.27902315
Rollins Square,Yes,Multifamily Housing,2 Rollins Street,2118,399507,52,90,,Multifamily Housing Retail Store,2003,1386.5,3.5,20782119,0.31,0.69,,23.8,,306455010,2015 2016,35285959.17,88.32375696
ROOSEVELT,Municipal,K-12 School,95 Needham Rd.,2136,40268,71.7,87,,K-12 School,1967,174.6,4.3,2886007,0.17,0.83,,,,Not Available,2016,4055705.216,100.717821
Roslindale Branch,Municipal,Library,4246 Washington St,2131,13600,72.7,Not Available,,Library,2000,67.1,4.9,988413,0.34,0.66,,,,Not Available,2016,1740199.048,127.9558123
Roslindale Community Center,Municipal,Social/Meeting Hall,6 Cummins Highway,2131,36960,76.2,Not Available,,Social/Meeting Hall,2000,195.5,5.3,2817050,0.37,0.63,,,,Not Available,2016,5136327.447,138.9698985
Roslindale Senior Housing Corp.,Yes,Other - Lodging/Residential,120 Poplar Street ,2131,58153,152.7,Not Available,,Other - Lodging/Residential,1987,595.5,10.2,8878911,0.32,0.68,,53.1,,Not Available,2015 2016,15261072.23,262.4296636
Roxbury Corners,Yes,Multifamily Housing,1801 Washington Street,2118,88733,62,97,,Multifamily Housing Parking,1991,327,3.7,5504052,0.14,0.86,,54,,9.00881E+38,2015 2016,7389740.215,83.28063083
Roxbury Home for Aged,Yes,Senior Care Community,1205 Centre Street ,2132,72254,138.3,9,,Senior Care Community,2006,610.8,8.5,9989783,0.18,0.82,,37.3,,2003597001,2015 2016,14247428.51,197.1853256
Roxse Homes,Yes,Multifamily Housing,1030 Tremont Street,2120,152000,82,96,,Multifamily Housing,1974,779.3,5.1,12468345,0.22,0.78,,69.2,,902000010,2015 2016,18824707.88,123.8467624
Roxse Homes - 10 - 70 Kendall,Yes,Multifamily Housing,10 Kendall Street,2118,89000,155.1,9,,Multifamily Housing,1974,820.3,9.2,13807961,0.14,0.86,,119.4,,901580000,2015 2016,18538567.9,208.2985157
"Rubenstein,Burstein Campus",Yes,College/University,454-458-460 Huntington Avenue,2115,81306,67.6,Not Available,,College/University,1926,341,4.2,5493067,0.21,0.79,,36.8,,Not Available,2014 2015 2016,8178627.456,100.5907
RUSSELL,Municipal,K-12 School,750 Columbia Rd.,2125,53585,88.3,77,,K-12 School,1903,273.4,5.1,4731422,0.11,0.89,,,,Not Available,2016,6055747.146,113.0119837
SAA,Yes,Multifamily Housing,249 A Street,2210,72000,14.2,100,,Multifamily Housing,1983,98.9,1.4,1022258,1,,,13,,602752000,2015 2016,3209890.12,44.58180722
Sackler Center,Yes,College/University,145 Harrison Avenue,2111,133787,164.7,Not Available,,College/University,1986,1788.6,13.4,22037933,0.49,,0.51,14.8,,305371000,2014 2015 2016,47394778.71,354.255486
Saint Botolph,Yes,Multifamily Housing,150 Saint Botolph Street,2115,102004,84.8,46,,Multifamily Housing,1920,555,5.4,8648389,0.25,0.75,,54.3,,402385000,2016,13599591.7,133.324102
Saint Francis House Inc,Yes,Mixed Use Property,39 Boylston St. ,2116,100000,64,Not Available,,Office Other,1900,447.9,4.5,6403012,0.39,0.61,,31.1,,Not Available,2014 2016,11942258.05,119.4225805
San Marco/Lincoln Wharf Condominium Trust: Lincoln Wharf,Yes,Multifamily Housing,357 Commercial Street,2109,230000,42.4,92,,Multifamily Housing,1987,857.3,3.7,9746105,0.61,,,32.4,,303039000,2015 2016,18667689.52,81.16386747
Sargent Hall,Yes,Other,120 Tremont Street,2108,287358,64.9,Not Available,,Other,1996,1786.9,6.2,18635836,0.98,0.02,,18.9,,Not Available,2014 2016,57737547.1,200.9254905
Sasha LP,Yes,Self-Storage Facility,100 Southampton St,2118,50880,29.6,Not Available,,Self-Storage Facility,1984,96.5,1.9,1505536,0.25,0.75,,1.7,,1027050,2016,2367455.989,46.53018846
Savin Hill Apartments,Yes,Multifamily Housing,130 Auckland Street,2125,141325,56.2,92,,Multifamily Housing Parking,1982,505.6,3.6,7948575,0.24,0.76,,35.8,,1503123000,2015 2016,12333008.97,87.26700138
Sawyer Building,Yes,Office,8 Ashburton Place,2108,149634,70.1,Not Available,,Data Center Office,1920,943.7,6.3,10494722,0.84,0.16,,16.3,,Not Available,2014 2016,29443992.04,196.7734074
School,Yes,Other - Education,197 Center Street,21242339,37680,5.6,Not Available,,Other - Education,1925,20.2,0.5,211058,0.97,0.03,,5.8,,Not Available,2016,649488.7834,17.23696347
School House Apartments - Brookledge Cummins,Yes,Multifamily Housing,20 Hutchings Street,2121,57000,62.2,90,,Multifamily Housing,2008,206.4,3.6,3546209,0.12,0.88,,34.6,,1202311000,2015 2016,4612908.277,80.92821539
School of Dental Medicine,Yes,Medical Office,188 Longwood Ave,2115,40251,205.1,12,,Medical Office,1909,582.1,14.5,8255295,0.25,0,0.48,28.6,,401882000,2015 2016,11235456.5,279.1348412
School Of Management and Academic Building,Yes,Parking,300R The Fenway,2115,66500,264.7,Not Available,,College/University Office Parking,2009,1462,22,17604293,0.69,0.31,,4,,401842000,2014 2015 2016,43871658.59,659.7241893
School of the Museum of Fine Arts,Yes,Other - Education,230 The Fenway,2115,110000,43.3,Not Available,,Other - Education,1987,436.2,4,4763488,0.88,0.12,,10.4,,401806000,2014 2016,13762669.53,125.1151775
Schoolhouse at Lower Mills,Yes,Multifamily Housing,40 River Street,2126,53065,17.2,Not Available,,Multifamily Housing Parking,2008,88.1,1.7,911008,1,,,46.4,,Not Available,2015 2016,2860565.12,53.90681466
Schraffts Center,Yes,Office,529 Main Street,2129,609636,60.1,85,,Office Parking,1928,3225.2,5.3,36667420,0.8,0.2,,1480.8,,0201829000 0201829002,2014 2015 2016,99808717.24,163.7185423
Seaport Center,Yes,Office,70 Fargo Street,2210,474728,106.2,Not Available,,Data Center Office Parking,1905,4876.4,10.3,50404228,1,,,10.2,,602825000,2014 2015 2016,158269275.9,333.3893849
Seaport Lofts at 437 D St Condominium,Yes,Multifamily Housing,437 D Street,2210,13146,Not Available,Not Available,,Multifamily Housing,1996,Not Available,0,Not Available,,,,,,602833000,2014 2015 2016,#VALUE!,#VALUE!
Sears Crescent Building,Yes,Office,100 City Hall Plaza,2108,50300,116.8,Not Available,,Office Other Retail Store,1816,467.6,9.3,5874390,0.61,0.39,,15.7,,302897000,2016,13657368.61,271.5182627
Seeley Mudd,Yes,Laboratory,250 Longwood,2115,91622,486.9,Not Available,,Laboratory,1977,3133.6,34.2,44614199,0.24,0,0.51,34.9,,401882000,2014 2015 2016,60925150.15,664.9620195
SFH-48 Boylston St. LLC,Yes,Other,48 Boylston St. ,2116,85000,18.1,Not Available,,Other,1875,97.1,1.1,1535396,0.23,0.77,,0.2,,Not Available,2016,2350231.116,27.64977784
SFR Holdings LLC,Yes,Office,1550 Soldiers Field Road,2135,44800,28.8,Not Available,,Office,1955,124.8,2.8,1290378,1,,,5.2,,Not Available,2016,4051785.35,90.44163728
Shad Hall,Yes,Mixed Use Property,70 North Harvard Street,2163,132424,129.8,Not Available,,Data Center Office Other - Recreation,1990,1327.4,10,17194649,0.5,0.33,0.17,15.3,24449,2200530000,2014 2015 2016,4.20E+11,3174865.845
Shapiro Cardiovascular Center,Yes,Hospital (General Medical & Surgical),70 Francis Street,2115,436096,418.2,1,,Hospital (General Medical & Surgical),2008,12603.5,28.9,182392589,0.4,0,0.60,73.7,,1000247010,2015 2016,360407754.9,826.4415118
Shattuck Int’l House,Yes,Multifamily Housing,203 Park Drive,2215,60077,63,90,,Multifamily Housing,1920,243.5,4.1,3784103,0.26,0.74,,36.7,,2100005010,2016,6029589.72,100.3643611
SHAW PA,Municipal,K-12 School,429 Norfolk St.,2124,32706,41,100,,K-12 School,1919,80.8,2.5,1339452,0.16,0.84,,,,Not Available,2016,1854336.933,56.69714834
SHAW RG,Municipal,K-12 School,20 Mt. Vernon St.,2132,93374,58.2,92,,K-12 School,1919,326.7,3.5,5437459,0.16,0.84,,,,Not Available,2016,7527617.686,80.61792025
Shelburne Community Center,Municipal,Other - Recreation,2730 Washington St,2119,25292,157.4,Not Available,,Other - Recreation,2000,262.3,10.4,3981639,0.29,0.71,,,,Not Available,2016,6593992.679,260.7145611
Sheraton Boston,Yes,Hotel,39 Dalton Street,2199,1050000,108,56,,Hotel Parking Restaurant,1965,7677.7,7.3,113444899,0.33,0.67,,36,,401037300,2014 2015 2016,197360090.8,187.9619912
Sherrill House,Yes,Senior Care Community,135 South Huntington Avenue,2130,117770,120.1,72,,Parking Senior Care Community,1970,987.4,8.4,14139111,0.38,0.62,,39.8,,1001629000,2014 2015 2016,26075348.51,221.4090898
Shipways Condominium,Yes,Multifamily Housing,1-48 Shipway Place,2129,91379,27.6,89,,Multifamily Housing Office Parking,1984,244.4,2.7,2526299,1,,,25.4,,203515600,2015 2016,7932578.86,86.80964839
Shops at Riverwood,Yes,Supermarket/Grocery Store,892 River Street,2136,59039,Not Available,Not Available,,Other - Mall Parking Supermarket/Grocery,2009,Not Available,Not Available,Not Available,,,,,,Not Available,2015 2016,#VALUE!,#VALUE!
Shore Plaza East,Yes,Multifamily Housing,408-826 Border Street,2128,297154,137.6,14,,Multifamily Housing,1975,2543.5,8.6,40877485,0.21,0.79,,71.9,,103678000,2015 2016,60862487.42,204.8179981
Shriners Hospitals for Children - Boston,Yes,Other - Specialty Hospital,51 Blossom,2114,270000,220.2,Not Available,,Other - Specialty Hospital Parking,1999,4692.5,17.4,59444712,0.41,,0.59,24.9,,Not Available,2014 2015 2016,118615978.3,439.3184382
Shubert Theatre,Yes,Performing Arts,263-265 Tremont Steet,2116,24622,199.1,Not Available,,Performing Arts,1910,307.7,12.5,4902146,0.22,0.78,,13.2,,Not Available,2016,7401260.031,300.5954037
Simmons Hall,Yes,College/University,255 Brookline Avenue,2115,34400,95.7,Not Available,,College/University,1956,201.5,5.9,3293538,0.18,0.82,,32.9,,402017000,2015 2016,4697243.896,136.5477877
"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,2108,90000,37.5,97,,Office,1900,286.7,3.2,3374264,0.73,0.27,,15.1,,304695000,2014 2015 2016,8691091.785,96.5676865
SMFA Mission Hill,Yes,Other - Education,160 St Alphonsus St,1225,45000,82.3,Not Available,,Other - Education,1920,281.9,6.3,3701794,0.53,0.47,,2.8,,Not Available,2014 2016,7987360.914,177.4969092
Smith Hall,Yes,College/University,54 Pilgrim Road,2115,32400,118.6,Not Available,,College/University,1964,261.5,8.1,3843658,0.34,0.66,,25.6,,402015000,2015 2016,6767144.275,208.8624776
Smith House,Yes,Multifamily Housing,757 Shawmut Avenue,2119,103792,88.6,56,,Multifamily Housing,1973,579.2,5.6,9193555,0.23,0.77,,45.4,,902505000,2016,14072574.64,135.5843865
SNOWDEN,Municipal,K-12 School,150 Newbury St.,2116,36400,49.6,89,,K-12 School,1885,130.7,3.6,1804638,0.44,0.56,,,,Not Available,2016,3554415.202,97.64876928
Soldiers Field Park Complex (Roll-Up),Yes,Multifamily Housing,111 Western Avenue,2134,453389,68.1,78,,Multifamily Housing,1976,2289.7,5.1,30868093,0.26,,0.74,29.8,,2200480000,2014 2015 2016,52611577.71,116.0407017
Soldiers Field Park Garage,Yes,Parking,111 Western Avenue,2134,270637,5.6,Not Available,,Parking,1975,146.6,0.5,1515544,1,,,,,2200480000,2014 2015 2016,4758808.16,17.58373083
Somerset Condominium,Yes,Multifamily Housing,"400, 416, 418 Commonwealth Ave, 429 Newbury Street",2215,155880,62.8,68,,Multifamily Housing Office,1897,833.1,5.3,9782256,0.73,0.27,,32.1,,503809000,2015 2016,25196156.78,161.6381626
Sophine LPS,Yes,Multifamily Housing,150 Huntington Avenue,2115,287281,94.5,10,,Multifamily Housing Parking,1980,2046.9,7.1,27148532,0.51,0.49,,61.8,,400864000,2015 2016,57443578.86,199.9560669
South Bay Center: South Bay Center,Yes,Retail Store,8 Allstate Road,2125,572434,2.5,Not Available,,Parking Retail Store,2005,39.4,0.1,1422535,0.97,0.03,,24.9,291363,Not Available,2014 2015 2016,4.14E+11,724063.2855
South Boston Branch,Municipal,Library,646 East Broadway,2127,10800,77,Not Available,,Library,2000,57,5.3,831187,0.35,0.65,,,,Not Available,2016,1480760.353,137.1074401
South Boston Elderly,Yes,Multifamily Housing,120 H Street,2127,25500,2192.8,1,,Multifamily Housing,1985,3015.1,118.2,55915792,0.02,0.98,,58.3,,602147000,2015 2016,61048861.71,2394.073008
south boston health center,Yes,Medical Office,409 west broadway,2127,40000,124.7,17,,Medical Office,1885,391.9,9.8,4988744,0.58,0.42,,8.3,,601141000,2016,11285536.68,282.1384169
SOUTH BOSTON HS,Municipal,K-12 School,95 G St.,2127,160270,98.7,51,,K-12 School,1901,918,5.7,15818864,0.11,0.89,,,,Not Available,2016,20246563.65,126.3278446
South Cove Plaza: 230 Stuart Street,Yes,Multifamily Housing,230 Stuart St,2116,139560,44.1,85,,Multifamily Housing,1982,482.1,3.5,6148569,0.58,0.42,,55.5,,500800000,2015 2016,13909292.79,99.66532525
South Cove Plaza: 285 Tremont St,Yes,Multifamily Housing,285 Tremont St,2116,84050,86.6,34,,Multifamily Housing,1982,484.4,5.8,7281325,0.31,0.69,,53.5,,500066000,2015 2016,12362961.72,147.0905618
South End Branch,Municipal,Library,685 Tremont St,2118,11342,53.5,Not Available,,Library,2000,48.2,4.3,606404,0.61,0.39,,,,Not Available,2016,1409829.125,124.3016333
South Hall,Yes,College/University,321 Brookline Avenue,2115,26100,102.5,Not Available,,College/University,1905,169.9,6.5,2674802,0.24,0.76,,64.8,,402012000,2015 2016,4150222.783,159.0123672
Spangler Center,Yes,Other - Entertainment/Public Assembly,117 Western Ave,2163,139437,122.7,Not Available,,Other - Entertainment/Public Assembly,2000,1245.4,8.9,17115565,0.28,0.17,0.55,21.9,,2200490000,2014 2015 2016,29399406,210.8436498
Sparrow Enterprises Ltd,Yes,Manufacturing/Industrial Plant,98r Condor Street,2128,46000,28.8,Not Available,,Manufacturing/Industrial,1986,83.9,1.8,1324964,0.23,0.77,,2.4,,Not Available,2016,2028122.395,44.08961728
Special Operations Fire,Municipal,Fire Station,108 Holton Street,2135,11500,271.7,Not Available,,Fire Station,2000,172.3,15,3124895,0.05,0.95,,,,Not Available,2016,3607691.624,313.7123151
Special Operations Police,Municipal,Police Station,3 Edgewood St,2119,20000,173.7,Not Available,,Police Station,2000,233.7,11.7,3473407,0.32,0.68,,,,Not Available,2016,5970092.295,298.5046148
SPIRE 65 BAY ST LLC,Yes,Manufacturing/Industrial Plant,65 BAY STREET,2125,75000,130.4,Not Available,,Manufacturing/Industrial,2001,916.8,12.2,9779182,0.93,0.07,,612.7,,1503130010,2014 2015 2016,29275937.15,390.3458287
Springhouse Inc,Yes,Senior Care Community,44 Allandale Street ,2130,172770,133,4,,Senior Care Community,1996,1497.5,8.7,22979880,0.28,0.72,,27.2,,2003594000,2015 2016,37576699.78,217.495513
SS Brighton MA LLC,Yes,Self-Storage Facility,145 N. Beacon St.,2135,128855,17.4,Not Available,,Self-Storage Facility,2007,180.1,1.4,2238485,0.63,0.37,,0.5,,2201904000,2014 2015 2016,5297822.45,41.11460517
SSFC,Yes,Financial Office,One Lincoln Street,2111,1043218,124,70,,Data Center Financial Office Parking Restaurant,2003,12330,11.8,129332337,0.97,0.03,,18.2,,304246010,2014 2015 2016,397994400.7,381.5064547
St Germain,Yes,Multifamily Housing,8-67 St Germain Street,2116,159042,21.2,100,,Multifamily Housing,1900,299.4,1.9,3368702,0.82,0.18,,42.6,,401229000,2015 2016,9310418.588,58.54062818
St Joseph's Community Inc,Yes,Multifamily Housing,86 Crispus Attucks Pl,2119,140932,82.2,96,,Multifamily Housing,1990,636.7,4.5,11584002,0.04,0.96,,8.3,,903820000,2016,13131624.67,93.17702628
St. Ann Hall,Yes,Residence Hall/Dormitory,410 The Fenway,2115,49803,65,82,,Residence Hall/Dormitory,1962,214.6,4.3,3238770,0.3,0.7,,26.5,,401847000,2014 2015 2016,5431417.29,109.0580345
St. Elizabeth Medical Center,Yes,Hospital (General Medical & Surgical),736 Cambridge Street,2135,651000,215.3,91,,Hospital (General Medical & Surgical),1960,9055.1,13.9,140182156,0.26,0.74,,22.9,,2101836000 2101835100,2014 2015 2016,223366247.4,343.1125152
